Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Threads,Failed
"af_shell10",1000,1,1716701,0.03,0.029821,3.642,1405820,96,0
"af_shell10",128,1,587274,0.03,0.029961,0.868,1379616,96,0
"af_shell10",37,1,296560,0.03,0.029981,0.567,906656,96,0
"af_shell10",64,1,405525,0.03,0.028688,0.592,1081192,96,0
"af_shell10",8,1,113464,0.03,0.029786,0.151,372656,96,0
"af_shell10",91,1,490925,0.03,0.029989,0.795,1310700,96,0
"af_shell10",1000,2,1700863,0.03,0.029821,4.724,1508544,96,0
"af_shell10",128,2,591114,0.03,0.029961,0.895,1412628,96,0
"af_shell10",37,2,296739,0.03,0.029098,0.588,851184,96,0
"af_shell10",64,2,406500,0.03,0.029961,0.65,1104724,96,0
"af_shell10",8,2,112484,0.03,0.024911,0.168,381616,96,0
"af_shell10",91,2,496625,0.03,0.029989,0.787,1320740,96,0
"af_shell10",1000,3,1700531,0.03,0.029821,4.239,1382236,96,0
"af_shell10",128,3,594828,0.03,0.029961,0.779,1387420,96,0
"af_shell10",37,3,300025,0.03,0.026644,0.586,869448,96,0
"af_shell10",64,3,397757,0.03,0.029961,0.673,1214912,96,0
"af_shell10",8,3,112500,0.03,0.012286,0.166,387836,96,0
"af_shell10",91,3,488834,0.03,0.029989,0.771,1337044,96,0
"af_shell10",1000,4,1714392,0.03,0.029821,4.252,1504368,96,0
"af_shell10",128,4,581014,0.03,0.029961,0.873,1418280,96,0
"af_shell10",37,4,303209,0.03,0.028852,0.583,863096,96,0
"af_shell10",64,4,411825,0.03,0.028051,0.624,1113352,96,0
"af_shell10",8,4,111875,0.03,0.019819,0.167,371072,96,0
"af_shell10",91,4,489724,0.03,0.029989,0.812,1351408,96,0
"af_shell10",1000,5,1718235,0.03,0.029821,4.193,1517860,96,0
"af_shell10",128,5,589409,0.03,0.029961,0.912,1370360,96,0
"af_shell10",37,5,294013,0.03,0.029981,0.604,904300,96,0
"af_shell10",64,5,405784,0.03,0.029961,0.592,1113036,96,0
"af_shell10",8,5,113704,0.03,0.025866,0.171,378844,96,0
"af_shell10",91,5,499825,0.03,0.029989,0.75,1351900,96,0
"arabic-2005",1000,1,26004387,0.03,0.029985,24.139,11011976,96,0
"arabic-2005",128,1,9760737,0.03,0.029996,2.995,5551104,96,0
"arabic-2005",37,1,2560956,0.03,0.03,1.93,5560320,96,0
"arabic-2005",64,1,5652808,0.03,0.029999,2.394,5560320,96,0
"arabic-2005",8,1,1333709,0.03,0.029988,1.417,5564928,96,0
"arabic-2005",91,1,7753677,0.03,0.03,2.988,5563392,96,0
"arabic-2005",1000,2,26316567,0.03,0.029985,40.686,9379356,96,0
"arabic-2005",128,2,9586719,0.03,0.029996,2.908,5573284,96,0
"arabic-2005",37,2,2432419,0.03,0.03,1.701,5561684,96,0
"arabic-2005",64,2,5504298,0.03,0.029999,2.445,5564928,96,0
"arabic-2005",8,2,1336034,0.03,0.029996,1.418,5555712,96,0
"arabic-2005",91,2,7696036,0.03,0.03,2.852,5569536,96,0
"arabic-2005",1000,3,25951790,0.03,0.029985,26.722,9170024,96,0
"arabic-2005",128,3,9617328,0.03,0.029996,3.3,5555712,96,0
"arabic-2005",37,3,2408145,0.03,0.03,2.209,5561616,96,0
"arabic-2005",64,3,5775944,0.03,0.029999,2.412,5555612,96,0
"arabic-2005",8,3,1293282,0.03,0.029632,1.397,5560320,96,0
